status	cs_loc	cs_sha256_16	cs_path	rs_path	crate
todo	14	f4c20362f43cf0fb	Core/GameXTests/Cig/Formats/CryXmlFileTest.cs	core/gamex-tests/src/cig/formats/cry_xml_file_test.rs	gamex-tests
todo	13	b4904d388109b661	Core/GameXTests/Cig/Formats/ForgeFileTest.cs	core/gamex-tests/src/cig/formats/forge_file_test.rs	gamex-tests
todo	10	3276d2ee91469517	Core/GameXTests/Cig/Helper.cs	core/gamex-tests/src/cig/helper.rs	gamex-tests
todo	0	189af288e2130a29	Core/GameXTests/Crytek/CryEngineTest.cs	core/gamex-tests/src/crytek/cry_engine_test.rs	gamex-tests
todo	0	845efacefb6e3ad9	Core/GameXTests/Crytek/CryXmlSerializerTest.cs	core/gamex-tests/src/crytek/cry_xml_serializer_test.rs	gamex-tests
todo	17	8a073b8bd3643738	Core/GameXTests/Exports/ColladaExportTest.cs	core/gamex-tests/src/exports/collada_export_test.rs	gamex-tests
todo	17	06037c08e9c4094f	Core/GameXTests/Exports/WavefrontExportTest.cs	core/gamex-tests/src/exports/wavefront_export_test.rs	gamex-tests
todo	18	619cd3ea917aac67	Core/GameXTests/FileDataTests.cs	core/gamex-tests/src/file_data_tests.rs	gamex-tests
todo	71	fb6b147b9d152f6b	Core/GameXTests/FileManagerTests.cs	core/gamex-tests/src/file_manager_tests.rs	gamex-tests
todo	45	f91ade63096f515a	Core/GameXTests/Formats/CompressTest.cs	core/gamex-tests/src/formats/compress_test.rs	gamex-tests
todo	31	2545090ae2d84acf	Core/GameXTests/Formats/GfxObjectTest.cs	core/gamex-tests/src/formats/gfx_object_test.rs	gamex-tests
todo	32	fc249bfb00658807	Core/GameXTests/Formats/GfxTextureTest.cs	core/gamex-tests/src/formats/gfx_texture_test.rs	gamex-tests
todo	51	2dfef16eae2af271	Core/GameXTests/Formats/LoadFileDataTest.cs	core/gamex-tests/src/formats/load_file_data_test.rs	gamex-tests
todo	53	70d1f2a13cc5f562	Core/GameXTests/Formats/LoadFileObjectsTest.cs	core/gamex-tests/src/formats/load_file_objects_test.rs	gamex-tests
todo	22	63ff4726be7dacc2	Core/GameXTests/Formats/LoadSingleFileDataTest.cs	core/gamex-tests/src/formats/load_single_file_data_test.rs	gamex-tests
todo	44	4023370e0199b4ae	Core/GameXTests/IW/FormatTest.cs	core/gamex-tests/src/iw/format_test.rs	gamex-tests
todo	12	d87d39c6a6ee23fd	Core/GameXTests/IW/FormatTest2.cs	core/gamex-tests/src/iw/format_test2.rs	gamex-tests
todo	22	69d7a076da313e33	Core/GameXTests/Red/FormatTests2.cs	core/gamex-tests/src/red/format_tests2.rs	gamex-tests
todo	42	e1d4170f6fb4c9f0	Core/GameXTests/ResourceTests.cs	core/gamex-tests/src/resource_tests.rs	gamex-tests
todo	59	94b695ddb3e90765	Core/GameXTests/TestHelper.cs	core/gamex-tests/src/test_helper.rs	gamex-tests
todo	47	e64613073a7e91c1	Core/GameXTests/Uncore/ZipArchiveXTest.cs	core/gamex-tests/src/uncore/zip_archive_x_test.rs	gamex-tests
todo	13	6acf6911f9e58189	Core/GameXTests/Unity/Formats/UnityFileTests.cs	core/gamex-tests/src/unity/formats/unity_file_tests.rs	gamex-tests
todo	10	f451db1ad0a67376	Core/GameXTests/Unity/Helper.cs	core/gamex-tests/src/unity/helper.rs	gamex-tests
todo	27	0aafa0ab9b85b8ab	Core/GameXTests/Valve/FormatTest.cs	core/gamex-tests/src/valve/format_test.rs	gamex-tests
todo	8	e9fb6efc209facaa	Core/GameXTests/Valve/PakBinaryTest.cs	core/gamex-tests/src/valve/pak_binary_test.rs	gamex-tests
todo	14	badf77c46e1bba9e	Core/GameXTests/WB/BuilderTest.cs	core/gamex-tests/src/wb/builder_test.rs	gamex-tests
todo	94	15063f19c21c8973	Core/GameXTests/WB/FormatTests.cs	core/gamex-tests/src/wb/format_tests.rs	gamex-tests
todo	195	7d37b02b5c39a7af	Core/GameXTests/WB/FormatTests2.cs	core/gamex-tests/src/wb/format_tests2.rs	gamex-tests
todo	28	7d65a9529c828775	Families/GameX.Ubisoft/Ubisoft.cs	families/ubisoft/src/ubisoft.rs	gamex-ubisoft
todo	333	88b27724927ec82e	Families/GameX.Uncore/Formats/Apple/PlistReader.cs	families/uncore/src/formats/apple/plist_reader.rs	gamex-uncore
todo	140	fad0e282e0bbae19	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+CreateNode.cs	families/uncore/src/formats/collada/collada_file_writer_create_node.rs	gamex-uncore
todo	5	9c501afca6f015c6	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+OutputTest.cs	families/uncore/src/formats/collada/collada_file_writer_output_test.rs	gamex-uncore
todo	28	526620f78e92cd90	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetAsset.cs	families/uncore/src/formats/collada/collada_file_writer_set_asset.rs	gamex-uncore
todo	96	7707984bf6dd79fd	Families/GameX.Uncore/Formats/Collada/ColladaFileWriter+SetLibraryControllers.cs	families/uncore/src/formats/collada/collada_file_writer_set_library_controllers.rs	gamex-uncore
